dateBuyOrderPlaced,ticker,dateBuyOrderFilled,dateSellOrderPlaced,dateSellOrderFilled,units,buyOrderPrice,purchasePrice,sellOrderPrice,sellPrice,NetChange
1982-01-05,WMT,1982-01-05 00:00:00,1982-02-16 00:00:00,1982-02-16 00:00:00,61479.0,0.244,0.244,0.244,0.244,0.0
1982-01-05,LMT,1982-01-05 00:00:00,1982-02-16 00:00:00,1982-02-16 00:00:00,4272.0,3.511,3.459,3.899,3.899,1879.6799999999998
1982-02-17,WMT,1982-02-17 00:00:00,1982-03-30 00:00:00,1982-03-30 00:00:00,62500.0,0.24,0.244,0.252,0.252,500.00000000000045
1982-02-17,LMT,1982-02-17 00:00:00,1982-03-30 00:00:00,1982-03-30 00:00:00,3851.0,3.895,3.937,3.563,3.563,-1440.2739999999988
1982-03-31,WMT,1982-03-31 00:00:00,1982-05-12 00:00:00,1982-05-12 00:00:00,58594.0,0.256,0.26,0.301,0.293,1933.6019999999985
1982-03-31,LMT,1982-03-31 00:00:00,1982-05-12 00:00:00,1982-05-12 00:00:00,4190.0,3.58,3.593,4.049,4.041,1877.1200000000017
1982-05-13,WMT,1982-05-13 00:00:00,1982-06-24 00:00:00,1982-06-24 00:00:00,50847.0,0.295,0.293,0.285,0.293,0.0
1982-05-13,LMT,1982-05-13 00:00:00,1982-06-24 00:00:00,1982-06-24 00:00:00,3782.0,3.966,3.907,3.929,3.929,83.20399999999924
1982-06-25,WMT,1982-06-25 00:00:00,1982-08-06 00:00:00,1982-08-06 00:00:00,50505.0,0.297,0.301,0.285,0.293,-404.04000000000036
1982-06-25,LMT,1982-06-25 00:00:00,1982-08-06 00:00:00,1982-08-06 00:00:00,3827.0,3.92,3.914,4.235,4.235,1228.4670000000006
1982-08-09,WMT,1982-08-09 00:00:00,1982-09-20 00:00:00,1982-09-20 00:00:00,50847.0,0.295,0.293,0.399,0.399,5389.782000000002
1982-08-09,LMT,1982-08-09 00:00:00,1982-09-20 00:00:00,1982-09-20 00:00:00,3592.0,4.176,4.116,5.274,5.274,4159.536000000001
1982-09-21,WMT,1982-09-21 00:00:00,1982-11-01 00:00:00,1982-11-01 00:00:00,38071.0,0.394,0.39,0.455,0.455,2474.6150000000002
1982-09-21,LMT,1982-09-21 00:00:00,1982-11-01 00:00:00,1982-11-01 00:00:00,2853.0,5.257,5.274,5.842,5.842,1620.503999999999
1982-11-02,WMT,1982-11-02 00:00:00,1982-12-14 00:00:00,1982-12-14 00:00:00,32967.0,0.455,0.464,0.553,0.569,3461.5349999999976
1982-11-02,LMT,1982-11-02 00:00:00,1982-12-14 00:00:00,1982-12-14 00:00:00,2580.0,5.815,5.842,5.767,5.767,-193.49999999999818
1982-12-15,WMT,1982-12-15 00:00:00,1983-01-26 00:00:00,1983-01-26 00:00:00,26738.0,0.561,0.545,0.537,0.537,-213.9040000000002
1982-12-15,IBM,1982-12-15 00:00:00,1983-01-26 00:00:00,1983-01-26 00:00:00,842.0,17.82,17.355,18.433,18.341,830.2120000000006
1983-01-27,WMT,1983-01-27 00:00:00,1983-03-10 00:00:00,1983-03-10 00:00:00,27829.0,0.539,0.553,0.618,0.61,1586.2529999999983
1983-01-27,LMT,1983-01-27 00:00:00,1983-03-10 00:00:00,1983-03-10 00:00:00,2305.0,6.508,6.559,7.403,7.433,2014.5699999999993
1983-03-11,WMT,1983-03-11 00:00:00,1983-04-22 00:00:00,1983-04-22 00:00:00,24510.0,0.612,0.601,0.707,0.707,2598.0599999999995
1983-03-11,LMT,1983-03-11 00:00:00,1983-04-22 00:00:00,1983-04-22 00:00:00,2003.0,7.487,7.492,8.912,8.918,2856.2779999999984
1983-04-25,WMT,1983-04-25 00:00:00,1983-06-06 00:00:00,1983-06-06 00:00:00,21127.0,0.71,0.716,0.837,0.837,2556.3669999999997
1983-04-25,LMT,1983-04-25 00:00:00,1983-06-06 00:00:00,1983-06-06 00:00:00,1640.0,9.144,9.367,8.896,8.896,-772.4400000000002
