Date,CashValue,AssetValue,TotalValue
1982-01-04,30000.0,0.0,30000.0
1982-01-05,309.07399999999825,29236.940000000002,29546.014
1982-01-06,309.07399999999825,28954.529000000002,29263.603
1982-01-07,309.07399999999825,28808.342,29117.415999999997
1982-01-08,309.07399999999825,28893.22,29202.293999999998
1982-01-11,309.07399999999825,28268.239999999998,28577.313999999995
1982-01-12,309.07399999999825,28387.964,28697.037999999997
1982-01-13,309.07399999999825,27999.083000000002,28308.157
1982-01-14,309.07399999999825,28144.918999999998,28453.992999999995
1982-01-15,309.07399999999825,28389.785,28698.858999999997
1982-01-18,309.07399999999825,28684.463,28993.536999999997
1982-01-19,309.07399999999825,28493.665999999997,28802.739999999994
1982-01-20,309.07399999999825,28451.68,28760.753999999997
1982-01-21,309.07399999999825,28754.89,29063.963999999996
1982-01-22,309.07399999999825,28793.326999999997,29102.400999999994
1982-01-25,309.07399999999825,28707.417999999998,29016.491999999995
1982-01-26,309.07399999999825,28572.587999999996,28881.661999999993
1982-01-27,309.07399999999825,28438.351000000002,28747.425
1982-01-28,309.07399999999825,29349.064,29658.137999999995
1982-01-29,309.07399999999825,29935.437,30244.511
1982-02-01,309.07399999999825,29753.221,30062.295
1982-02-02,309.07399999999825,29691.190000000002,30000.264
1982-02-03,309.07399999999825,29620.788,29929.861999999997
1982-02-04,309.07399999999825,29777.217,30086.290999999997
1982-02-05,309.07399999999825,30375.854,30684.927999999996
1982-02-08,309.07399999999825,29578.034,29887.107999999997
1982-02-09,309.07399999999825,29044.881999999998,29353.955999999995
1982-02-10,309.07399999999825,29273.61,29582.683999999997
1982-02-11,309.07399999999825,29235.368000000002,29544.442
1982-02-12,309.07399999999825,29425.986,29735.059999999998
1982-02-16,29549.374,0.0,29549.374
1982-02-17,2572.864999999997,26912.033,29484.897999999997
1982-02-18,2572.864999999997,27021.118999999995,29593.983999999993
1982-02-19,2572.864999999997,27014.798,29587.662999999997
1982-02-22,2572.864999999997,26530.055999999997,29102.920999999995
1982-02-23,2572.864999999997,26366.229,28939.093999999997
1982-02-24,2572.864999999997,26605.993000000002,29178.858
1982-02-25,2572.864999999997,26422.921,28995.785999999996
1982-02-26,2572.864999999997,26038.319999999996,28611.184999999994
1982-03-01,2572.864999999997,26109.888,28682.752999999997
1982-03-02,2572.864999999997,26233.939000000002,28806.804
1982-03-03,2572.864999999997,26033.191,28606.055999999997
1982-03-04,2572.864999999997,25665.321,28238.185999999998
1982-03-05,2572.864999999997,25328.460000000003,27901.325
1982-03-08,2572.864999999997,24937.136,27510.000999999997
1982-03-09,2572.864999999997,25314.949999999997,27887.814999999995
1982-03-10,2572.864999999997,25427.353999999996,28000.218999999994
1982-03-11,2572.864999999997,25368.793999999998,27941.658999999996
1982-03-12,2572.864999999997,25135.339,27708.203999999998
1982-03-15,2572.864999999997,25448.240999999998,28021.105999999996
1982-03-16,2572.864999999997,25372.241,27945.106
1982-03-17,2572.864999999997,25607.716999999997,28180.581999999995
1982-03-18,2572.864999999997,25914.092999999997,28486.957999999995
1982-03-19,2572.864999999997,26026.88,28599.745
1982-03-22,2572.864999999997,26451.996,29024.860999999997
1982-03-23,2572.864999999997,26596.706,29169.570999999996
1982-03-24,2572.864999999997,26544.909,29117.773999999998
1982-03-25,2572.864999999997,26739.274999999998,29312.139999999996
1982-03-26,2572.864999999997,26465.871,29038.735999999997
1982-03-29,2572.864999999997,26535.27,29108.135
1982-03-30,29204.385,0.0,29204.385
1982-03-31,2343.8699999999994,26895.528,29239.397999999997
1982-04-01,2343.8699999999994,27510.771,29854.641
1982-04-02,2343.8699999999994,27741.135000000002,30085.005
1982-04-05,2343.8699999999994,27704.756,30048.626
1982-04-06,2343.8699999999994,27526.951,29870.821
1982-04-07,2343.8699999999994,27683.063,30026.932999999997
1982-04-08,2343.8699999999994,28017.434,30361.304
