Date,CashValue,AssetValue,TotalValue
1982-01-04,30000.0,0.0,30000.0
1982-01-05,3526.9670000000006,26009.503,29536.47
1982-01-06,3526.9670000000006,25771.828,29298.795000000002
1982-01-07,3526.9670000000006,25645.136,29172.103
1982-01-08,3526.9670000000006,25752.118000000002,29279.085000000003
1982-01-11,3526.9670000000006,25191.369000000002,28718.336000000003
1982-01-12,3526.9670000000006,25269.318000000003,28796.285000000003
1982-01-13,3526.9670000000006,24836.053,28363.02
1982-01-14,3526.9670000000006,25004.168999999998,28531.136
1982-01-15,3526.9670000000006,25226.578999999998,28753.546
1982-01-18,3526.9670000000006,25393.147,28920.114
1982-01-19,3526.9670000000006,25224.63,28751.597
1982-01-20,3526.9670000000006,25202.139000000003,28729.106000000003
1982-01-21,3526.9670000000006,25463.574,28990.541
1982-01-22,3526.9670000000006,25479.731000000003,29006.698000000004
1982-01-25,3526.9670000000006,25352.047000000002,28879.014000000003
1982-01-26,3526.9670000000006,25258.992000000002,28785.959000000003
1982-01-27,3526.9670000000006,25124.755,28651.722
1982-01-28,3526.9670000000006,25971.237,29498.204
1982-01-29,3526.9670000000006,26493.379,30020.346
1982-02-01,3526.9670000000006,26397.322,29924.289
1982-02-02,3526.9670000000006,26313.011000000002,29839.978000000003
1982-02-03,3526.9670000000006,26287.345,29814.312
1982-02-04,3526.9670000000006,26421.318000000003,29948.285000000003
1982-02-05,3526.9670000000006,26847.285000000003,30374.252000000004
1982-02-08,3526.9670000000006,26135.976,29662.943
1982-02-09,3526.9670000000006,25730.934,29257.901
1982-02-10,3526.9670000000006,25940.343,29467.31
1982-02-11,3526.9670000000006,25921.596,29448.563000000002
1982-02-12,3526.9670000000006,25983.928,29510.895
1982-02-16,3526.9670000000006,25811.166,29338.133
1982-02-17,3526.9670000000006,25855.398,29382.365
1982-02-18,3526.9670000000006,25903.296000000002,29430.263000000003
1982-02-19,3526.9670000000006,25909.0,29435.967
1982-02-22,3526.9670000000006,25578.915,29105.882
1982-02-23,3526.9670000000006,25475.230000000003,29002.197000000004
1982-02-24,3526.9670000000006,25774.613999999998,29301.581
1982-02-25,3526.9670000000006,25654.428999999996,29181.395999999997
1982-02-26,3526.9670000000006,25316.286,28843.253
1982-03-01,3526.9670000000006,25378.17,28905.137
1982-03-02,3526.9670000000006,25559.805,29086.772
1982-03-03,3526.9670000000006,25412.304,28939.271
1982-03-04,3526.9670000000006,25156.081000000002,28683.048000000003
1982-03-05,3526.9670000000006,25054.818000000003,28581.785000000003
1982-03-08,3526.9670000000006,24834.168999999998,28361.136
1982-03-09,3526.9670000000006,24885.660000000003,28412.627000000004
1982-03-10,3526.9670000000006,25184.462,28711.429
1982-03-11,3526.9670000000006,25087.221999999998,28614.189
1982-03-12,3526.9670000000006,24768.689000000002,28295.656000000003
1982-03-15,3526.9670000000006,24937.333,28464.3
