dateBuyOrderPlaced,ticker,dateBuyOrderFilled,dateSellOrderPlaced,dateSellOrderFilled,units,buyOrderPrice,purchasePrice,sellOrderPrice,sellPrice,NetChange
1982-01-05,WMT,1982-01-05 00:00:00,1982-05-12 00:00:00,1982-05-12 00:00:00,13661.0,0.244,0.244,0.301,0.293,661.3889999999998
1982-01-05,LMT,1982-01-05 00:00:00,1982-05-12 00:00:00,1982-05-12 00:00:00,949.0,3.511,3.459,4.049,4.041,544.3180000000003
1982-01-05,PEP,1982-01-05 00:00:00,1982-05-12 00:00:00,1982-05-12 00:00:00,2206.0,1.511,1.513,1.606,1.606,197.1580000000004
1982-01-05,MCD,1982-01-05 00:00:00,1982-05-12 00:00:00,1982-05-12 00:00:00,2719.0,1.226,1.211,1.25,1.242,76.28899999999977
1982-01-05,JPM,1982-01-05 00:00:00,1982-05-12 00:00:00,1982-05-12 00:00:00,1228.0,2.714,2.708,2.501,2.501,-262.19600000000037
1982-01-05,PG,1982-01-05 00:00:00,1982-05-12 00:00:00,1982-05-12 00:00:00,1750.0,1.905,1.876,2.036,2.021,245.75000000000003
1982-01-05,MO,1982-01-05 00:00:00,1982-05-12 00:00:00,1982-05-12 00:00:00,24331.0,0.137,0.137,0.151,0.151,332.6339999999996
1982-01-05,C,1982-01-05 00:00:00,1982-05-12 00:00:00,1982-05-12 00:00:00,250.0,13.315,13.012,10.412,10.412,-657.9999999999999
1982-05-13,WMT,1982-05-13 00:00:00,1982-09-20 00:00:00,1982-09-20 00:00:00,11299.0,0.295,0.293,0.399,0.399,1189.6940000000004
1982-05-13,LMT,1982-05-13 00:00:00,1982-09-20 00:00:00,1982-09-20 00:00:00,840.0,3.966,3.907,5.274,5.274,1140.28
1982-05-13,PEP,1982-05-13 00:00:00,1982-09-20 00:00:00,1982-09-20 00:00:00,2078.0,1.604,1.606,1.822,1.838,474.09599999999995
1982-05-13,MCD,1982-05-13 00:00:00,1982-09-20 00:00:00,1982-09-20 00:00:00,2693.0,1.238,1.25,1.604,1.597,926.4709999999999
1982-05-13,PG,1982-05-13 00:00:00,1982-09-20 00:00:00,1982-09-20 00:00:00,1651.0,2.019,2.006,2.326,2.326,520.3200000000005
1982-05-13,MO,1982-05-13 00:00:00,1982-09-20 00:00:00,1982-09-20 00:00:00,22676.0,0.147,0.144,0.157,0.157,286.78800000000024
1982-05-13,JNJ,1982-05-13 00:00:00,1982-09-20 00:00:00,1982-09-20 00:00:00,2480.0,1.344,1.327,1.504,1.496,411.1200000000001
1982-05-13,IBM,1982-05-13 00:00:00,1982-09-20 00:00:00,1982-09-20 00:00:00,271.0,12.297,12.295,14.239,14.239,518.8240000000002
1982-05-13,BMY,1982-05-13 00:00:00,1982-09-20 00:00:00,1982-09-20 00:00:00,2442.0,1.365,1.352,1.542,1.557,492.6099999999996
1982-09-21,WMT,1982-09-21 00:00:00,1983-01-26 00:00:00,1983-01-26 00:00:00,8460.0,0.394,0.39,0.537,0.537,1235.6200000000001
1982-09-21,LMT,1982-09-21 00:00:00,1983-01-26 00:00:00,1983-01-26 00:00:00,634.0,5.257,5.274,6.439,6.439,730.61
1982-09-21,PEP,1982-09-21 00:00:00,1983-01-26 00:00:00,1983-01-26 00:00:00,1812.0,1.84,1.884,1.405,1.413,-861.4519999999998
1982-09-21,MCD,1982-09-21 00:00:00,1983-01-26 00:00:00,1983-01-26 00:00:00,2087.0,1.597,1.62,1.612,1.597,-56.001000000000275
1982-09-21,PG,1982-09-21 00:00:00,1983-01-26 00:00:00,1983-01-26 00:00:00,1433.0,2.326,2.349,2.593,2.593,341.6519999999997
1982-09-21,JNJ,1982-09-21 00:00:00,1983-01-26 00:00:00,1983-01-26 00:00:00,2222.0,1.5,1.535,1.612,1.589,111.98800000000011
1982-09-21,IBM,1982-09-21 00:00:00,1983-01-26 00:00:00,1983-01-26 00:00:00,234.0,14.26,14.548,18.433,18.341,879.5620000000002
1982-09-21,GE,1982-09-21 00:00:00,1983-01-26 00:00:00,1983-01-26 00:00:00,2757.0,1.209,1.225,1.504,1.496,739.1469999999997
1982-09-21,MMM,1982-09-21 00:00:00,1983-01-26 00:00:00,1983-01-26 00:00:00,929.0,3.567,3.672,4.154,4.114,402.61799999999977
1983-01-27,WMT,1983-01-27 00:00:00,1983-06-06 00:00:00,1983-06-06 00:00:00,6184.0,0.539,0.553,0.837,0.837,1748.2559999999994
1983-01-27,LMT,1983-01-27 00:00:00,1983-06-06 00:00:00,1983-06-06 00:00:00,512.0,6.508,6.559,8.896,8.896,1188.5440000000003
1983-01-27,IBM,1983-01-27 00:00:00,1983-06-06 00:00:00,1983-06-06 00:00:00,182.0,18.325,18.605,21.898,21.966,603.7020000000001
1983-01-27,GE,1983-01-27 00:00:00,1983-06-06 00:00:00,1983-06-06 00:00:00,2231.0,1.494,1.504,1.76,1.768,580.984
1983-01-27,HD,1983-01-27 00:00:00,1983-06-06 00:00:00,1983-06-06 00:00:00,12723.0,0.262,0.246,0.442,0.442,2485.708
